node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
6.2.1.3,180328,0.735797718,,,,,,,,,,
6.2.1.4.2,180328,0.741981271,,,,,,,,,,
6.4.9,180328,0.779540083,,,,,,,,,,
6.2.1.6,180328,0.804164533,,,,,,,,,,
6.11.5,180328,0.812795393,,,,,,,,,,
6.11.2,180328,0.823091624,,,,,,,,,,
6.4.8.2.1,180328,0.829335277,,,,,,,,,,
6.11.1.1,180328,0.829430097,,,,,,,,,,
6.4.8.5,180328,0.833647053,,,,,,,,,,
6.2.1.4,180328,0.841729646,,,,,,,,,,
6.2.13,180328,0.847222003,,,,,,,,,,
6.4.10,180328,0.857706916,,,,,,,,,,
6.2.1.4.1,180328,0.86891729,,,,,,,,,,
6.4.12,180328,0.872666317,,,,,,,,,,
6.4.8.1,180328,0.876144504,,,,,,,,,,
6.2.2.2.3,180328,0.90399632,,,,,,,,,,
6.2.1.7,180328,0.916200361,,,,,,,,,,
6.9*1,180328,0.918615425,,,,,,,,,,
6.2.1.8,180328,0.919108303,,,,,,,,,,
6.3.2,180328,0.92427634,,,,,,,,,,
6.3.8,180328,0.931626464,,,,,,,,,,
6.2.11.2,180328,0.949482877,,,,,,,,,,
6.4.6*1,180328,0.958851948,,,,,,,,,,
6.3.4,180328,0.962785979,,,,,,,,,,
6.11.1.3,180328,0.976344819,,,,,,,,,,
6.3.6,180328,0.984381003,,,,,,,,,,
NA,180328,0.538654328,,,,,,,,,,
